year,canton,diseasesGroup,diseases,species,count
2010,FR,Epidemics to be supervised,Neosporosis,Cattle,2
2010,SO,Epidemics to be supervised,Cryptosporidiosis,Goat,1
2010,FR,Epidemics to be fought,Avian infectious laryngotracheitis,Chicken,1
2010,VS,Epidemics to be fought,American foulbrood of honey bees,Bees,3
2010,GR,Epidemics to be supervised,Listeriosis,Goat,1
2010,AI,Epidemics to be fought,European foulbrood of honey bees,Bees,18
2010,VD,Epidemics to be fought,Salmonellosis,Lizard,1
2010,JU,Epidemics to be supervised,Cryptosporidiosis,Cattle,1
2010,ZH,Epidemics to be fought,American foulbrood of honey bees,Bees,1
2010,BL,Epidemics to be fought,European foulbrood of honey bees,Bees,13
2010,GR,Epidemics to be fought,Infectious pancreatic necrosis,Fish,2
2010,NE,Epidemics to be supervised,Echinococcosis/hydatidosis,Dog,1
2010,VS,Epidemics to be supervised,Enzootic abortion of ewes,Goat,2
2010,JU,Epidemics to be supervised,Q fever,Cattle,8
2010,TI,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,3
2010,SG,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,1
2010,ZG,Epidemics to be fought,European foulbrood of honey bees,Bees,1
2010,SG,Epidemics to be supervised,Q fever,Cattle,5
2010,ZH,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,32
2010,JU,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,2
2010,ZH,Epidemics to be fought,Salmonellosis,Snake,4
2010,TI,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,3
2010,FR,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,1
2010,ZH,Epidemics to be supervised,Neosporosis,Cattle,1
2010,SZ,Epidemics to be supervised,Neosporosis,Cattle,2
2010,GR,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,30
2010,LU,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,41
2010,SH,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,2
2010,VD,Epidemics to be fought,American foulbrood of honey bees,Bees,7
2010,BS,Epidemics to be supervised,Echinococcosis/hydatidosis,Monkey,1
2010,LU,Epidemics to be fought,Salmonellosis,Songbird,1
2010,AR,Epidemics to be fought,European foulbrood of honey bees,Bees,8
2010,SO,Epidemics to be fought,Salmonellosis,Cat,1
2010,ZH,Epidemics to be fought,Paratuberculosis,Cattle,1
2010,SO,Epidemics to be eradicated,Bovine Virusdiarrhoe / Mucosal disease,Cattle,14
2010,AG,Epidemics to be fought,American foulbrood of honey bees,Bees,2
2010,LU,Epidemics to be supervised,Maedi-visna,Goat,2
2010,AI,Epidemics to be supervised,Campylobacteriosis,Cattle,1
2010,NE,Epidemics to be fought,Salmonellosis,Snake,1
2010,AR,Epidemics to be fought,Salmonellosis,Dog,1
2010,AI,Epidemics to be supervised,Pseudotuberculosis of sheep and goats,Goat,1
2010,BE,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,3
2010,AI,Epidemics to be supervised,Q fever,Cattle,1
2010,NE,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,3
2010,FR,Epidemics to be supervised,Blackleg,Cattle,1
2010,AG,Epidemics to be supervised,Enzootic abortion of ewes,Sheep,2
2010,VD,Epidemics to be fought,Avian chlamydiosis,Budgerigar,1
2010,AG,Epidemics to be fought,Salmonellosis,Cattle,3
2010,ZH,Epidemics to be fought,Salmonellosis,Lizard,8
2010,AG,Epidemics to be supervised,Ovine pulmonary adenomatosis,Sheep,1
2010,GR,Epidemics to be fought,American foulbrood of honey bees,Bees,6
2010,UR,Epidemics to be fought,Caprine Arthritis-Encephalitis,Goat,2
2010,FR,Epidemics to be fought,Ovine epididymitis (B.ovis),Sheep,1
