Year,AnimalSpecies,Origin,Count
2024,Fische wt,importiert,3893
2024,Frösche gm,gezüchtet,1187
2024,Frösche gm,importiert,1000
2024,Geflügel,gezüchtet,397
2024,Geflügel,importiert,0
2024,Hamster,gezüchtet,0
2024,Hamster,importiert,98
2024,Hunde,gezüchtet,0
2024,Hunde,importiert,0
2024,Kaninchen gm,gezüchtet,0
2024,Kaninchen gm,importiert,34
2024,Kaninchen wt,gezüchtet,22
2024,Kaninchen wt,importiert,348
2024,Katzen,gezüchtet,0
2024,Katzen,importiert,0
2024,"Lama, Alpaca, Guana",gezüchtet,1
2024,"Lama, Alpaca, Guana",importiert,0
2024,Mäuse gm,gezüchtet,666740
2024,Mäuse gm,importiert,55568
2024,Mäuse wt,gezüchtet,99060
2024,Mäuse wt,importiert,118470
2024,Meerschweinchen,gezüchtet,0
2024,Meerschweinchen,importiert,35
2024,Primaten,gezüchtet,2
2024,Primaten,importiert,2
2024,Ratten gm,gezüchtet,1521
2024,Ratten gm,importiert,16
2024,Ratten wt,gezüchtet,2997
2024,Ratten wt,importiert,33683
2024,Rennmäuse,gezüchtet,0
2024,Rennmäuse,importiert,21
2024,Reptilien gm,gezüchtet,102
2024,Reptilien gm,importiert,0
2024,Reptilien wt,gezüchtet,121
2024,Reptilien wt,importiert,0
2024,"Rinder, Büffel",gezüchtet,289
2024,"Rinder, Büffel",importiert,0
2024,Schafe,gezüchtet,36
2024,Schafe,importiert,0
2024,Schweine,gezüchtet,4724
2024,Schweine,importiert,7
2024,Vögel,gezüchtet,74
2024,Vögel,importiert,0
2024,Weitere Nicht-Säuger,gezüchtet,107
2024,Weitere Nicht-Säuger,importiert,0
2024,Weitere Säuger,gezüchtet,82
2024,Weitere Säuger,importiert,8
2024,Wilde Nager,gezüchtet,2016
2024,Wilde Nager,importiert,0
2024,Ziegen,gezüchtet,18
2024,Ziegen,importiert,0
