Year,Category,Species,Category of use,Prescription type,Treatment days,Treatment days with critical antibiotics,Treatment days per 1000,Critical treatment days per 1000,Total animal numbers across production cycles
2023,Farm animals,Poultry,Fattening broilers,All prescription types,30877837,3857876,381.72,47.69,80891652
2023,Farm animals,Poultry,Fattening turkeys,All prescription types,59821,12001,146.58,29.41,408100
2023,Farm animals,Game animals,All categories of use,All prescription types,118,77,7.97,5.2,14810
2023,Farm animals,Game animals,Game animals,All prescription types,118,77,7.97,5.2,14810
2023,Farm animals,Camelids,All categories of use,All prescription types,3503,1102,366.54,115.31,9557
2023,Farm animals,Camelids,Camelids,All prescription types,3503,1102,366.54,115.31,9557
2023,Farm animals,Rabbits,All categories of use,All prescription types,746941,10375,3417.63,47.47,218555
2023,Farm animals,Rabbits,Rabbits,All prescription types,746941,10375,3417.63,47.47,218555
2023,Farm animals,Cattle,All categories of use,All prescription types,3818209,613859,4912.47,703.96,1781516
2023,Farm animals,Cattle,Dairy cows,All prescription types,1022047,90468,1959.83,173.48,521497
2023,Farm animals,Cattle,Suckler cows,All prescription types,64858,5047,266.8,20.76,243093
2023,Farm animals,Cattle,Cattle rearing and fattening,All prescription types,2731304,518344,2685.84,509.72,1016926
2023,Farm animals,Sheep,All categories of use,All prescription types,66312,8327,146.6,18.41,452340
2023,Farm animals,Sheep,Sheep,All prescription types,66312,8327,146.6,18.41,452340
2023,Farm animals,Pigs,All categories of use,All prescription types,1260334,148129,976.46,164.7,6688487
2023,Farm animals,Pigs,Fattening pigs and giltsm,All prescription types,463400,50920,195.07,21.43,2375577
2023,Farm animals,Pigs,Suckling and weaned piglets,All prescription types,780448,93870,182.12,21.9,4285400
2023,Farm animals,Pigs,Breeding sows and boars,All prescription types,16486,3339,599.27,121.37,27510
2023,Farm animals,Goats,All categories of use,All prescription types,49847,13666,426.99,117.06,116740
2023,Farm animals,Goats,Goats,All prescription types,49847,13666,426.99,117.06,116740
2024,All animals,All species,All categories of use,All prescription types,44824721,6094769,14242.52,2295.82,103051362
2024,All animals,All species,Rearing laying hens and parent birds,All prescription types,1127343,681418,227.01,137.21,4966135
2024,All animals,All species,Equids,All prescription types,85559,2950,763.43,26.32,112072
2024,All animals,All species,Game animals,All prescription types,46,1,3.23,0.07,14253
2024,All animals,All species,Dogs,All prescription types,1241896,159562,2237.19,287.44,555114
2024,All animals,All species,Camelids,All prescription types,4043,667,420.88,69.44,9606
2024,All animals,All species,Rabbits,All prescription types,15289,825,78.37,4.23,195085
2024,All animals,All species,Cats,All prescription types,2068188,1057401,1267.85,648.21,1631253
2024,All animals,All species,Laying and parent birds,All prescription types,454211,9021,1403.5,27.87,323628
