Year,Category,Class of active substances,Category of use,Critical active substance,Prescription type,Species,Amount of active ingredient (kg)
2021,All animals,Cephalosporins 1st/2nd generation,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,0.4158
2021,All animals,All active substance classes,Goats,No,Single treatments farm animals,All species,20.791
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,All prescription types,All species,0.4216
2021,All animals,All active substance classes,Goats,No,Oral group treatments,All species,16.7648
2021,All animals,Cephalosporins 3rd/4th generationᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,0.4216
2021,All animals,Aminoglycosides,Goats,No,All prescription types,All species,2.8257
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,All prescription types,All species,3.1664
2021,All animals,Fluoroquinolonesᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,3.1664
2021,All animals,Aminoglycosides,Goats,No,Single treatments farm animals,All species,2.8257
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,All prescription types,All species,7.8319
2021,All animals,Amphenicols,Goats,No,All prescription types,All species,0.1683
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,Single treatments farm animals,All species,3.6828
2021,All animals,Amphenicols,Goats,No,Single treatments farm animals,All species,0.1683
2021,All animals,Macrolidesᵏʳⁱᵗ,Rearing cattle,All types of active ingredients,Oral group treatments,All species,4.1491
2021,All animals,Others¹,Goats,No,All prescription types,All species,1.1644
2021,All animals,Penicillins,Rearing cattle,All types of active ingredients,All prescription types,All species,79.248
2021,All animals,Others¹,Goats,No,Single treatments farm animals,All species,0.2844
2021,All animals,Others¹,Goats,No,Oral group treatments,All species,0.88
