Kanton,Fundort,Probenahme-Datum,Vogelart,Status Wildvogel,Ergebnis,Pathogenitaet,Subtyp
BE,Münsingen,2024-09-16,Höckerschwan,Totfund Einzeltier,negativ,,
SH,"Kraftwerk Schafhausen, Mühlentalstrasse 19, 8200 Schaffhausen",2024-10-21,Höckerschwan,Programm,negativ,,
NE,"Rue du Castel, St. Aubin",2024-10-29,Tafelente,Totfund Einzeltier,negativ,,
UR,"6462 Seedorf, im Vierwaldstättersee (Reussdelta)",2024-11-08,Höckerschwan,Totfund mehrere Tiere an einem Ort,positiv,highly pathogenic avian influenza (HPAI),H5N1
NE,"Bord de Lac, Le Bied, Colombier",2024-11-11,Höckerschwan,Totfund Einzeltier,negativ,,
ZH,"Innenhof Bürogebäude, Thurgauerstrasse 119, Zürich",2024-11-19,Strassentaube,Totfund mehrere Tiere an einem Ort,negativ,,
BE,Wohlen bei Bern,2024-11-24,Höckerschwan,Totfund Einzeltier,negativ,,
AG,Hallwilersee,2024-11-27,Höckerschwan,Lebendfang klinisch krank,negativ,,
ZH,Flughafen Departure 8058 Kloten,2024-11-28,Taube,Totfund mehrere Tiere an einem Ort,negativ,,
ZH,Flughafen Departure 8058 Kloten,2024-11-28,Taube,Totfund mehrere Tiere an einem Ort,negativ,,
FL,Langgasse 42 9495 Triesen FL,2024-11-29,Schnepfen,Totfund mehrere Tiere an einem Ort,negativ,,
BE,3032 Hinterkappeln,2024-11-30,Höckerschwan,Totfund Einzeltier,negativ,,
BE,"Wasserkraftwerk, Niederried-Radelfingen",2024-12-03,Höckerschwan,Totfund Einzeltier,negativ,,
TG,"8273 Ermatingen (Triboltingen, Bodensee)",2024-12-09,Mittelmeermöwe,Tierseuchenverdacht,positiv,highly pathogenic avian influenza (HPAI),H5N1
SH,"Furkastieg 4, 8200 Schaffhausen",2024-12-09,Finken,Totfund Einzeltier,negativ,,
ZH,Savera Areal,2024-12-10,Höckerschwan,Programm,negativ,,
BE,3272 Walperswil,2024-12-10,Mäusebussard,Totfund Einzeltier,negativ,,
SH,"Brücke Hemishofen, 8261 Hemishofen",2024-12-19,Höckerschwan,Totfund Einzeltier,negativ,,
BE,"Wohlensee, Prägelweg",2024-12-21,Höckerschwan,Programm,negativ,,
BE,Wohlen bei Bern,2024-12-21,Höckerschwan,Programm,negativ,,
SH,"Rechen Kraftwerk, Mühlenstrasse 19, 8200 Schaffhausen",2024-12-27,Höckerschwan,Totfund Einzeltier,negativ,,
SH,"Rechen Kraftwerk, Mühlenstrasse 19, 8200 Schaffhausen",2024-12-28,Weisskopfmöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,"Hornstrasse 31, Ermatingen",2025-01-01,Silbermöwe,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
BE,2555 Brügg,2025-01-05,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
TG,8596 Münsterlingen,2025-01-07,Silbermöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
FR,3280 Murten,2025-01-14,Mäusebussard,Totfund Einzeltier,negativ,,
BE,,2025-01-15,Höckerschwan,Totfund Einzeltier,negativ,,
FR,Galmiz,2025-01-17,Graureiher,Totfund Einzeltier,negativ,,
VD,"Ouchy, Lausanne",2025-01-17,Höckerschwan,Lebendfang verletztes Tier,negativ,,
VD,"Rue de la Jonction 16, 1400 Yverdon-Les-Bains",2025-01-18,Mäusebussard,Lebendfang verletztes Tier,negativ,,
SO,3253 Schnottwil im Wald,2025-01-21,Mäusebussard,Totfund Einzeltier,negativ,,
SH,"Rechen Kraftwerk, Mühlenstrasse 19, 8200 Schaffhausen",2025-01-21,Turmfalke,Totfund Einzeltier,negativ,,
FR,"Chemin des Grèves 57, 1598 Portalbau",2025-01-22,Mäusebussard,Totfund Einzeltier,negativ,,
FR,Region Galmiz,2025-01-23,Silberreiher,Totfund Einzeltier,negativ,,
SH,"Kraftwerk Schafhausen, Mühlenstrasse 19, 8200 Schaffhausen",2025-01-23,Strassentaube,Totfund Einzeltier,negativ,,
AG,"WZV Klingnauer Staussee, Schilfgürtel",2025-01-24,Rostgans,Totfund Einzeltier,negativ,,
LU,Strandbad Tribschen,2025-01-24,Mittelmeermöwe,Lebendfang klinisch krank,positiv,highly pathogenic avian influenza (HPAI),H5N1
AG,"Staubereich Kraftwerk Beznau, Schilfgürtel",2025-01-26,Blässhuhn,Totfund Einzeltier,negativ,,
AG,"Aarekraftwerk Klingnau, direkt vor Rechen",2025-01-26,Mäusebussard,Jagdprobe klinisch krank,negativ,,
AG,"Unterhalb Aarekraftwerk Klingnau, linke Uferseite",2025-01-26,Mäusebussard,Totfund Einzeltier,negativ,,
BE,,2025-01-27,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"Grand Canal, Aigle",2025-01-27,Höckerschwan,Totfund Einzeltier,negativ,,
BE,,2025-01-28,Höckerschwan,Totfund Einzeltier,negativ,,
BE,,2025-01-28,Höckerschwan,Totfund Einzeltier,negativ,,
VD,"sur la digue du port, Port de Concise, 1426 Concise",2025-01-28,Haubentaucher,Totfund Einzeltier,negativ,,
SH,"Deponie Birchbuel, 8225 Siblingen",2025-01-29,Graureiher,Totfund Einzeltier,negativ,,
AG,"Uferdamm, Klingnauer-Stausee",2025-01-30,Haubentaucher,Totfund Einzeltier,negativ,,
BE,Nidau - Büren- Kanal / Schleusenstrasse,2025-02-03,Höckerschwan,Totfund Einzeltier,positiv,highly pathogenic avian influenza (HPAI),H5N1
