Year,Species,Class of active substances,Critical active substance,Amount of active ingredient (kg)
2015,Livestock,Other¹,All types of active ingredients,196.91
2024,Species,Active substance class,All types of active ingredients,23502.38
2015,Pet,Other¹,All types of active ingredients,29.76
2019,Livestock,Active substance class,All types of active ingredients,29333.73
2021,Species,Active substance class,All types of active ingredients,28282.57
2017,Pet,Other¹,All types of active ingredients,29
2021,Pet,Other¹,All types of active ingredients,128.37
2018,Pet,Other¹,All types of active ingredients,26.73
2023,Livestock,Active substance class,All types of active ingredients,23672.9
2021,Species,Other¹,All types of active ingredients,154.96
2018,Pet,Active substance class,All types of active ingredients,763.39
2021,Pet,Active substance class,All types of active ingredients,894.5
2020,Livestock,Other¹,All types of active ingredients,118.2
2015,Species,Other¹,All types of active ingredients,226.67
2022,Livestock,Other¹,All types of active ingredients,25.62
2016,Pet,Active substance class,All types of active ingredients,801.82
2021,Livestock,Other¹,All types of active ingredients,26.59
2018,Species,Active substance class,All types of active ingredients,32397.06
2017,Species,Other¹,All types of active ingredients,210.11
2024,Livestock,Active substance class,All types of active ingredients,22827.46
2016,Pet,Other¹,All types of active ingredients,29.59
2023,Pet,Other¹,All types of active ingredients,108.95
2017,Species,Active substance class,All types of active ingredients,32826.39
2019,Livestock,Other¹,All types of active ingredients,129.57
2020,Pet,Other¹,All types of active ingredients,77.6
2019,Pet,Active substance class,All types of active ingredients,774.69
2015,Pet,Active substance class,All types of active ingredients,809.71
2022,Species,Other¹,All types of active ingredients,153.24
2020,Species,Other¹,All types of active ingredients,195.8
2017,Livestock,Other¹,All types of active ingredients,181.11
2023,Livestock,Other¹,All types of active ingredients,32.5
2015,Species,Aminoglycosides,No,3104.09
2017,Species,Polymyxins,No,327.63
2024,Livestock,Polymyxins,No,35.96
2024,Pet,Polymyxins,No,0.47
2024,Species,Active substance class,No,22818.81
2018,Species,Polymyxins,No,234.68
2023,Pet,Polymyxins,No,0.4
2015,Livestock,Polymyxins,No,502.3
2017,Pet,Active substance class,No,758.88
2020,Species,Polymyxins,No,148.41
2017,Species,Aminoglycosides,No,2471
2016,Livestock,Trimethoprim,No,828.65
2017,Livestock,Polymyxins,No,327.39
2023,Species,Aminoglycosides,No,2041.65
2017,Livestock,Trimethoprim,No,590.64
2024,Species,Polymyxins,No,36.43
2018,Species,Trimethoprim,No,607.92
2016,Pet,Active substance class,No,752.89
2020,Livestock,Polymyxins,No,147.97
2015,Species,Polymyxins,No,502.7
2016,Species,Active substance class,No,35952.85
2021,Species,Polymyxins,No,82.43
2018,Livestock,Active substance class,No,29897.87
2019,Livestock,Polymyxins,No,205.94
2022,Species,Trimethoprim,No,510.27
2016,Livestock,Active substance class,No,35199.96
2023,Livestock,Polymyxins,No,33.07
2020,Species,Trimethoprim,No,561.02
2015,Livestock,Trimethoprim,No,904.05
2018,Pet,Aminoglycosides,No,9.19
2015,Species,Trimethoprim,No,904.05
2024,Pet,Aminoglycosides,No,0.34
2022,Pet,Polymyxins,No,0.41
2017,Species,Penicillins,No,9609.97
2019,Pet,Penicillins,No,459.63
2018,Pet,Penicillins,No,447.86
2018,Species,Penicillins,No,9823.1
2018,Livestock,Trimethoprim,No,607.92
2021,Species,Aminoglycosides,No,2498.02
2021,Pet,Penicillins,No,477.1
2021,Species,Penicillins,No,9908.26
2023,Species,Trimethoprim,No,520.51
2024,Species,Penicillins,No,8895.78
2022,Species,Penicillins,No,10024.48
2024,Pet,Penicillins,No,408.87
2016,Pet,Penicillins,No,445.63
2023,Species,Penicillins,No,9256.96
2017,Species,Trimethoprim,No,590.64
2015,Species,Penicillins,No,10016.21
2024,Species,Aminoglycosides,No,1935.3
2016,Species,Penicillins,No,9694.34
2016,Species,Trimethoprim,No,828.65
2022,Pet,Active substance class,No,774.9
2021,Pet,Aminoglycosides,No,2.26
2015,Pet,Penicillins,No,442.72
2024,Livestock,Trimethoprim,No,555.09
2023,Livestock,Trimethoprim,No,520.51
2022,Species,Aminoglycosides,No,2256.74
2024,Livestock,Active substance class,No,22170.66
2020,Pet,Polymyxins,No,0.44
2021,Livestock,Polymyxins,No,81.98
2022,Species,Polymyxins,No,44.04
2019,Species,Penicillins,No,9784.79
2020,Pet,Aminoglycosides,No,19.53
2017,Pet,Penicillins,No,467.08
2023,Pet,Aminoglycosides,No,0.53
2022,Pet,Aminoglycosides,No,6.37
2019,Livestock,Trimethoprim,No,582.43
2023,Pet,Penicillins,No,408.93
2022,Pet,Penicillins,No,432.19
2020,Livestock,Trimethoprim,No,561.02
2022,Livestock,Penicillins,No,9592.29
2016,Species,Aminoglycosides,No,2997.17
2020,Pet,Penicillins,No,437.24
2019,Species,Active substance class,No,28668.01
2018,Species,Sulfonamides,No,9291.97
2015,Pet,Tetracyclines,No,4.49
2020,Pet,Tetracyclines,No,4.96
2015,Pet,Active substance class,No,758.62
2023,Livestock,Sulfonamides,No,5385.66
2017,Pet,Tetracyclines,No,4.67
2019,Livestock,Sulfonamides,No,8406.4
2019,Pet,Active substance class,No,733.88
2021,Pet,Tetracyclines,No,5.8
2023,Pet,Tetracyclines,No,16.99
2024,Livestock,Sulfonamides,No,5116.58
2016,Species,Sulfonamides,No,13130.27
2022,Pet,Tetracyclines,No,14.56
2016,Pet,Tetracyclines,No,4.83
2018,Livestock,Tetracyclines,No,7213.96
2020,Livestock,Sulfonamides,No,6696.51
2015,Livestock,Sulfonamides,No,14958.95
