Year,Canton,Species,Type of Slaughter,Origin of animal,Fitness for consumption,Count
2014,FR,Sheep,Sanitary,Abroad,No,0
2014,FR,Swine,Normal,Inland,Yes,396182
2014,FR,Swine,Sanitary,Inland,Yes,13
2014,FR,Swine,Normal,Abroad,Yes,0
2014,FR,Swine,Sanitary,Abroad,Yes,0
2014,FR,Swine,Normal,Inland,No,850
2014,FR,Swine,Sanitary,Inland,No,5
2014,FR,Swine,Normal,Abroad,No,0
2014,FR,Swine,Sanitary,Abroad,No,0
2014,GE,Cattle < 6We,Normal,Inland,Yes,0
2014,GE,Cattle < 6We,Sanitary,Inland,Yes,0
2014,GE,Cattle < 6We,Normal,Abroad,Yes,0
2014,GE,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,GE,Cattle < 6We,Normal,Inland,No,0
2014,GE,Cattle < 6We,Sanitary,Inland,No,0
2014,GE,Cattle < 6We,Normal,Abroad,No,0
2014,GE,Cattle < 6We,Sanitary,Abroad,No,0
2014,GE,Cattle > 6We,Normal,Inland,Yes,445
2014,GE,Cattle > 6We,Sanitary,Inland,Yes,7
2014,GE,Cattle > 6We,Normal,Abroad,Yes,0
2014,GE,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,GE,Cattle > 6We,Normal,Inland,No,0
2014,GE,Cattle > 6We,Sanitary,Inland,No,1
2014,GE,Cattle > 6We,Normal,Abroad,No,0
2014,GE,Cattle > 6We,Sanitary,Abroad,No,0
2014,GE,Equidae,Normal,Inland,Yes,0
2014,GE,Equidae,Sanitary,Inland,Yes,0
2014,GE,Equidae,Normal,Abroad,Yes,0
2014,GE,Equidae,Sanitary,Abroad,Yes,0
2014,GE,Equidae,Normal,Inland,No,0
2014,GE,Equidae,Sanitary,Inland,No,0
2014,GE,Equidae,Normal,Abroad,No,0
2014,GE,Equidae,Sanitary,Abroad,No,0
2014,GE,Goats,Normal,Inland,Yes,312
2014,GE,Goats,Sanitary,Inland,Yes,0
2014,GE,Goats,Normal,Abroad,Yes,0
2014,GE,Goats,Sanitary,Abroad,Yes,0
2014,GE,Goats,Normal,Inland,No,0
2014,GE,Goats,Sanitary,Inland,No,0
2014,GE,Goats,Normal,Abroad,No,0
2014,GE,Goats,Sanitary,Abroad,No,0
2014,GE,Sheep,Normal,Inland,Yes,1949
2014,GE,Sheep,Sanitary,Inland,Yes,6
2014,GE,Sheep,Normal,Abroad,Yes,0
2014,GE,Sheep,Sanitary,Abroad,Yes,0
2014,GE,Sheep,Normal,Inland,No,2
2014,GE,Sheep,Sanitary,Inland,No,1
2014,GE,Sheep,Normal,Abroad,No,0
2014,GE,Sheep,Sanitary,Abroad,No,0
2014,GE,Swine,Normal,Inland,Yes,1037
2014,GE,Swine,Sanitary,Inland,Yes,2
2014,GE,Swine,Normal,Abroad,Yes,0
2014,GE,Swine,Sanitary,Abroad,Yes,0
2014,GE,Swine,Normal,Inland,No,1
2014,GE,Swine,Sanitary,Inland,No,0
2014,GE,Swine,Normal,Abroad,No,0
2014,GE,Swine,Sanitary,Abroad,No,0
2014,GL,Cattle < 6We,Normal,Inland,Yes,63
2014,GL,Cattle < 6We,Sanitary,Inland,Yes,0
2014,GL,Cattle < 6We,Normal,Abroad,Yes,0
2014,GL,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,GL,Cattle < 6We,Normal,Inland,No,0
2014,GL,Cattle < 6We,Sanitary,Inland,No,0
2014,GL,Cattle < 6We,Normal,Abroad,No,0
2014,GL,Cattle < 6We,Sanitary,Abroad,No,0
2014,GL,Cattle > 6We,Normal,Inland,Yes,803
2014,GL,Cattle > 6We,Sanitary,Inland,Yes,9
2014,GL,Cattle > 6We,Normal,Abroad,Yes,0
2014,GL,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,GL,Cattle > 6We,Normal,Inland,No,3
2014,GL,Cattle > 6We,Sanitary,Inland,No,0
2014,GL,Cattle > 6We,Normal,Abroad,No,0
2014,GL,Cattle > 6We,Sanitary,Abroad,No,0
2014,GL,Equidae,Normal,Inland,Yes,1
2014,GL,Equidae,Sanitary,Inland,Yes,0
2014,GL,Equidae,Normal,Abroad,Yes,0
2014,GL,Equidae,Sanitary,Abroad,Yes,0
2014,GL,Equidae,Normal,Inland,No,0
2014,GL,Equidae,Sanitary,Inland,No,0
2014,GL,Equidae,Normal,Abroad,No,0
2014,GL,Equidae,Sanitary,Abroad,No,0
2014,GL,Goats,Normal,Inland,Yes,436
2014,GL,Goats,Sanitary,Inland,Yes,0
2014,GL,Goats,Normal,Abroad,Yes,0
2014,GL,Goats,Sanitary,Abroad,Yes,0
2014,GL,Goats,Normal,Inland,No,1
2014,GL,Goats,Sanitary,Inland,No,0
2014,GL,Goats,Normal,Abroad,No,0
2014,GL,Goats,Sanitary,Abroad,No,0
2014,GL,Sheep,Normal,Inland,Yes,704
2014,GL,Sheep,Sanitary,Inland,Yes,0
2014,GL,Sheep,Normal,Abroad,Yes,0
2014,GL,Sheep,Sanitary,Abroad,Yes,0
2014,GL,Sheep,Normal,Inland,No,1
2014,GL,Sheep,Sanitary,Inland,No,0
2014,GL,Sheep,Normal,Abroad,No,0
2014,GL,Sheep,Sanitary,Abroad,No,0
2014,GL,Swine,Normal,Inland,Yes,2838
2014,GL,Swine,Sanitary,Inland,Yes,0
2014,GL,Swine,Normal,Abroad,Yes,0
2014,GL,Swine,Sanitary,Abroad,Yes,0
2014,GL,Swine,Normal,Inland,No,0
2014,GL,Swine,Sanitary,Inland,No,0
2014,GL,Swine,Normal,Abroad,No,0
2014,GL,Swine,Sanitary,Abroad,No,0
2014,GR,Cattle < 6We,Normal,Inland,Yes,94
2014,GR,Cattle < 6We,Sanitary,Inland,Yes,3
2014,GR,Cattle < 6We,Normal,Abroad,Yes,0
2014,GR,Cattle < 6We,Sanitary,Abroad,Yes,0
2014,GR,Cattle < 6We,Normal,Inland,No,0
2014,GR,Cattle < 6We,Sanitary,Inland,No,0
2014,GR,Cattle < 6We,Normal,Abroad,No,0
2014,GR,Cattle < 6We,Sanitary,Abroad,No,0
2014,GR,Cattle > 6We,Normal,Inland,Yes,5914
2014,GR,Cattle > 6We,Sanitary,Inland,Yes,213
2014,GR,Cattle > 6We,Normal,Abroad,Yes,0
2014,GR,Cattle > 6We,Sanitary,Abroad,Yes,0
2014,GR,Cattle > 6We,Normal,Inland,No,1
2014,GR,Cattle > 6We,Sanitary,Inland,No,14
2014,GR,Cattle > 6We,Normal,Abroad,No,0
2014,GR,Cattle > 6We,Sanitary,Abroad,No,0
2014,GR,Equidae,Normal,Inland,Yes,38
2014,GR,Equidae,Sanitary,Inland,Yes,1
2014,GR,Equidae,Normal,Abroad,Yes,0
2014,GR,Equidae,Sanitary,Abroad,Yes,0
2014,GR,Equidae,Normal,Inland,No,0
2014,GR,Equidae,Sanitary,Inland,No,0
2014,GR,Equidae,Normal,Abroad,No,0
2014,GR,Equidae,Sanitary,Abroad,No,0
2014,GR,Goats,Normal,Inland,Yes,4174
2014,GR,Goats,Sanitary,Inland,Yes,22
2014,GR,Goats,Normal,Abroad,Yes,0
2014,GR,Goats,Sanitary,Abroad,Yes,0
2014,GR,Goats,Normal,Inland,No,0
2014,GR,Goats,Sanitary,Inland,No,2
2014,GR,Goats,Normal,Abroad,No,0
2014,GR,Goats,Sanitary,Abroad,No,0
2014,GR,Sheep,Normal,Inland,Yes,4800
2014,GR,Sheep,Sanitary,Inland,Yes,53
2014,GR,Sheep,Normal,Abroad,Yes,0
2014,GR,Sheep,Sanitary,Abroad,Yes,0
2014,GR,Sheep,Normal,Inland,No,6
2014,GR,Sheep,Sanitary,Inland,No,4
2014,GR,Sheep,Normal,Abroad,No,0
